Date,Open,High,Low,Close,Adj Close,Volume
2015-03-23,66.129997,67.449997,65.709999,67.279999,62.711258,647137
2015-03-24,66.150002,67.070000,64.989998,65.269997,60.837738,582946
2015-03-25,66.500000,66.500000,64.040001,64.449997,60.073433,697986
2015-03-26,64.029999,65.190002,62.080002,62.880001,58.610043,705451
2015-03-27,62.880001,65.440002,62.430000,64.910004,60.502201,602064
2015-03-30,65.010002,65.379997,63.509998,64.160004,59.803127,383089
2015-03-31,64.480003,64.989998,62.549999,63.389999,59.085415,1185521
2015-04-01,63.980000,64.750000,62.849998,64.550003,60.166649,206513
2015-04-06,64.550003,65.989998,64.550003,65.459999,61.014839,544537
2015-04-07,65.750000,66.000000,65.129997,65.470001,61.024178,614290
2015-04-08,65.029999,66.360001,65.029999,66.150002,61.657993,469620
2015-04-09,66.250000,66.360001,65.800003,66.019997,61.536816,177217
2015-04-10,66.080002,66.209999,65.300003,65.900002,61.424976,273925
2015-04-13,65.900002,65.989998,64.150002,64.410004,60.036148,265944
2015-04-14,65.989998,66.209999,63.799999,64.720001,60.325100,423449
2015-04-15,64.720001,65.650002,64.720001,65.050003,60.632698,334225
2015-04-16,65.669998,65.669998,63.900002,64.029999,59.681957,537884
2015-04-17,63.750000,64.199997,63.500000,63.709999,59.383682,389312
2015-04-20,63.400002,63.680000,61.430000,62.660000,58.404984,509756
2015-04-21,62.700001,63.250000,62.139999,62.910000,58.638008,486533
2015-04-22,63.450001,63.450001,62.009998,62.200001,57.976219,677423
2015-04-23,62.660000,64.269997,61.540001,63.880001,59.542137,513700
2015-04-24,63.020000,65.970001,63.009998,65.290001,60.856396,550087
2015-04-27,65.959999,65.959999,63.509998,63.810001,59.476891,512318
2015-04-28,64.849998,65.389999,63.900002,64.459999,60.082752,412756
2015-04-29,64.440002,64.889999,63.759998,63.860001,59.523502,470285
2015-04-30,64.209999,64.209999,62.369999,63.240002,58.945606,750639
2015-05-04,63.130001,64.769997,62.509998,63.689999,59.365040,551761
2015-05-05,63.849998,65.400002,63.349998,64.839996,60.436943,675949
2015-05-06,65.699997,66.220001,64.099998,65.860001,61.387688,433508
2015-05-07,65.839996,65.839996,64.449997,65.070000,60.651333,482004
2015-05-08,65.900002,65.900002,64.639999,65.209999,60.781830,607479
2015-05-11,64.110001,65.349998,64.099998,65.080002,61.053883,343415
2015-05-12,64.099998,65.000000,63.599998,64.489998,60.500385,479387
2015-05-13,63.680000,65.080002,63.680000,64.739998,60.734917,326624
2015-05-14,65.050003,66.000000,64.089996,65.919998,61.841919,445664
2015-05-15,65.809998,66.099998,65.070000,65.900002,61.823162,215520
2015-05-18,65.449997,66.309998,65.449997,65.519997,61.466663,402723
2015-05-19,65.419998,66.099998,65.410004,65.779999,61.710583,574305
2015-05-20,66.000000,66.000000,65.000000,65.269997,61.232128,400765
2015-05-21,65.250000,65.779999,65.250000,65.529999,61.476044,337659
2015-05-22,65.150002,65.550003,65.000000,65.500000,61.447903,649085
2015-05-25,65.500000,66.139999,65.010002,65.849998,61.776245,281837
2015-05-26,65.019997,65.870003,63.799999,64.050003,60.087612,787621
2015-05-27,63.900002,64.260002,63.200001,63.279999,59.365242,529566
2015-05-28,63.189999,64.389999,62.750000,63.310001,59.393387,481624
2015-05-29,63.330002,65.430000,63.020000,65.099998,61.072643,2154852
2015-06-01,64.010002,64.910004,64.000000,64.690002,60.688019,379627
2015-06-02,64.110001,64.860001,63.110001,63.470001,59.543488,869290
2015-06-03,63.470001,65.010002,63.470001,64.019997,60.059464,505786
2015-06-04,64.000000,64.550003,62.500000,62.849998,58.961838,616321
2015-06-05,62.900002,63.520000,62.639999,63.389999,59.468437,658438
2015-06-08,63.070000,65.500000,62.900002,65.349998,61.307171,825542
2015-06-09,65.599998,66.839996,64.199997,65.870003,61.795017,1016877
2015-06-10,65.949997,65.949997,64.900002,65.040001,61.016365,1563825
2015-06-11,64.500000,65.779999,64.139999,65.419998,61.372845,364724
2015-06-12,65.760002,65.760002,64.050003,64.809998,60.800587,446175
2015-06-15,64.199997,65.660004,63.900002,65.230003,61.194611,430872
2015-06-16,64.699997,65.550003,64.150002,65.370003,61.325947,422323
2015-06-17,65.370003,65.650002,64.209999,65.500000,61.447903,643713
2015-06-18,65.010002,65.760002,65.010002,65.629997,61.569859,1049087
2015-06-19,65.589996,65.709999,65.050003,65.459999,61.410366,1346944
2015-06-22,65.440002,65.860001,64.919998,65.290001,61.250896,558166
2015-06-23,65.500000,65.769997,65.199997,65.550003,61.494808,498614
2015-06-24,65.500000,65.949997,64.529999,65.089996,61.063271,605460
2015-06-25,65.019997,65.360001,64.800003,65.120003,61.091412,481868
2015-06-26,65.199997,65.589996,65.000000,65.500000,61.447903,439562
2015-06-29,65.500000,65.500000,64.449997,64.620003,60.622345,553341
2015-06-30,64.300003,65.589996,64.209999,65.500000,61.447903,1254964
2015-07-01,65.400002,67.500000,65.370003,66.089996,62.001404,723665
2015-07-02,66.349998,67.959999,66.110001,67.699997,63.511803,975067
2015-07-03,67.199997,69.989998,67.129997,69.070000,64.797050,237798
2015-07-06,69.050003,69.519997,66.800003,69.150002,64.872101,626476
2015-07-07,68.800003,72.449997,68.000000,71.650002,67.217438,563133
2015-07-08,70.800003,71.580002,70.389999,70.779999,66.401253,455011
2015-07-09,71.150002,71.589996,69.440002,70.489998,66.129196,487944
2015-07-10,71.000000,73.500000,71.000000,73.059998,68.540215,543439
2015-07-13,73.000000,75.080002,71.610001,72.169998,67.705269,295191
2015-07-14,73.489998,73.489998,72.639999,72.889999,68.380714,410143
2015-07-15,72.949997,72.949997,72.000000,72.430000,67.949181,265733
2015-07-16,72.940002,73.000000,72.190002,73.000000,68.483917,277717
2015-07-17,73.000000,73.000000,72.510002,72.879997,68.371346,174157
2015-07-20,72.760002,74.160004,72.629997,73.629997,69.074936,206496
2015-07-21,74.500000,75.000000,72.510002,74.730003,70.106911,385187
