Date,Open,High,Low,Close,Adj Close,Volume
2015-03-23,436.369995,436.390015,421.000000,421.720001,408.113861,70281
2015-03-24,413.619995,425.970001,407.529999,411.489990,398.213928,420366
2015-03-25,412.000000,418.309998,406.029999,411.250000,397.981720,312961
2015-03-26,418.000000,418.000000,410.010010,413.899994,402.897461,328826
2015-03-27,412.000000,415.989990,401.049988,405.339996,394.565002,46270
2015-03-30,408.989990,409.010010,400.000000,402.410004,391.712891,41859
2015-03-31,400.600006,404.489990,390.000000,394.540009,384.052094,91102
2015-04-01,393.000000,396.059998,385.000000,393.209991,382.757416,104320
2015-04-06,394.000000,406.600006,389.000000,405.220001,394.448181,57233
2015-04-07,407.489990,411.500000,393.000000,404.149994,393.406647,93842
2015-04-08,407.989990,408.920013,401.880005,402.709991,392.004913,104688
2015-04-09,407.000000,407.899994,400.000000,406.570007,395.762329,47113
2015-04-10,406.989990,408.989990,398.940002,402.429993,391.732330,27840
2015-04-13,401.970001,406.790009,394.489990,400.339996,389.697906,438609
2015-04-14,400.899994,400.899994,395.899994,399.209991,388.597961,443843
2015-04-15,396.809998,401.000000,396.000000,397.500000,386.933411,48310
2015-04-16,397.470001,404.000000,395.000000,398.579987,387.984680,60065
2015-04-17,398.000000,400.970001,390.010010,392.940002,382.494629,44629
2015-04-20,396.190002,398.989990,391.049988,392.119995,381.696411,302890
2015-04-21,390.910004,393.000000,385.000000,387.709991,377.403625,393124
2015-04-22,388.049988,405.320007,388.049988,404.049988,393.309296,340768
2015-04-23,402.220001,409.750000,400.010010,406.549988,395.742798,302296
2015-04-24,401.369995,409.250000,401.000000,409.059998,398.186127,248357
2015-04-27,410.000000,411.489990,407.019989,407.329987,396.502075,298188
2015-04-28,407.059998,410.880005,407.049988,408.940002,398.069275,281489
2015-04-29,408.920013,412.000000,407.000000,411.640015,400.697540,320629
2015-04-30,407.010010,411.500000,395.799988,401.320007,390.651886,877160
2015-05-04,400.000000,407.450012,396.500000,401.709991,391.031464,136568
2015-05-05,400.000000,408.799988,394.000000,400.049988,389.415588,93801
2015-05-06,395.130005,402.619995,395.130005,400.820007,390.165161,345569
2015-05-07,395.200012,407.970001,395.200012,402.940002,392.228790,306391
2015-05-08,403.829987,406.730011,395.700012,401.750000,391.070465,400533
2015-05-11,400.000000,401.739990,395.010010,397.470001,386.904236,331411
2015-05-12,394.000000,400.779999,368.470001,385.880005,375.622314,196946
2015-05-13,385.000000,390.000000,381.010010,389.100006,378.756714,50777
2015-05-14,392.779999,401.989990,392.779999,400.980011,390.320892,63734
2015-05-15,400.980011,404.500000,393.140015,395.809998,385.288330,30969
2015-05-18,395.869995,401.989990,394.799988,397.059998,386.505096,12956
2015-05-19,397.980011,398.950012,392.890015,397.059998,386.505096,425342
2015-05-20,398.989990,398.989990,390.929993,395.820007,385.298096,326238
2015-05-21,397.799988,399.799988,396.040009,399.269989,388.656372,387123
2015-05-22,400.190002,403.019989,388.549988,397.649994,387.079407,71836
2015-05-25,390.000000,401.000000,390.000000,397.350006,386.787384,357948
2015-05-26,398.799988,398.799988,387.000000,394.059998,383.584869,393049
2015-05-27,390.000000,394.000000,386.040009,393.049988,382.601685,369972
2015-05-28,395.000000,395.000000,386.200012,392.570007,382.134460,397307
2015-05-29,386.019989,394.920013,385.200012,390.220001,379.846924,91947
2015-06-01,392.170013,392.170013,386.109985,390.929993,380.538055,28601
2015-06-02,386.010010,388.929993,376.820007,380.640015,370.521606,327808
2015-06-03,380.000000,389.890015,373.010010,386.220001,375.953247,287642
2015-06-04,386.220001,386.220001,373.010010,382.410004,372.244537,89656
2015-06-05,382.000000,383.890015,374.869995,382.100006,371.942780,40681
2015-06-08,382.100006,382.100006,374.109985,377.660004,367.620819,367621
2015-06-09,374.000000,378.899994,367.209991,371.329987,361.459076,225977
2015-06-10,368.000000,368.000000,354.000000,361.630005,352.016937,426280
2015-06-11,360.000000,369.500000,355.200012,363.920013,354.246063,373890
2015-06-12,361.500000,363.989990,357.670013,363.649994,353.983246,93668
2015-06-15,363.489990,363.489990,356.500000,360.350006,350.770966,48644
2015-06-16,360.339996,362.519989,354.000000,356.380005,346.906525,43867
2015-06-17,354.000000,368.049988,351.600006,365.040009,355.336273,483181
2015-06-18,360.850006,366.869995,358.010010,362.029999,352.406311,431481
