Date,Open,High,Low,Close,Adj Close,Volume
2015-06-17,265.149994,266.989990,262.299988,264.869995,236.305878,195220
2015-06-18,267.000000,274.470001,266.010010,272.390015,243.014938,256856
2015-06-19,272.380005,272.380005,265.489990,265.859985,237.189117,272038
2015-06-22,271.980011,271.980011,265.000000,265.750000,237.090988,76217
2015-06-23,265.000000,268.190002,265.000000,265.880005,237.206970,158524
2015-06-24,265.880005,268.600006,265.299988,265.720001,237.064224,166393
2015-06-25,264.619995,267.910004,264.619995,265.380005,236.760895,153484
2015-06-26,264.529999,267.390015,262.500000,264.239990,235.743805,202057
2015-06-29,262.500000,266.130005,257.239990,259.649994,231.648804,97550
2015-06-30,264.980011,264.980011,254.100006,255.949997,228.347824,377928
2015-07-01,259.649994,259.829987,250.630005,252.759995,225.501831,196739
2015-07-02,252.699997,256.829987,249.570007,250.169998,223.191177,129723
2015-07-03,250.009995,255.520004,249.589996,252.059998,224.877335,82619
2015-07-06,250.020004,253.350006,245.009995,251.720001,224.573990,430617
2015-07-07,251.000000,251.000000,241.000000,246.860001,220.238113,214914
2015-07-08,249.809998,249.809998,242.000000,243.759995,217.472397,205476
2015-07-09,245.000000,251.000000,245.000000,249.509995,222.602325,131052
2015-07-10,250.009995,258.519989,250.009995,256.779999,229.088318,161100
2015-07-13,254.479996,255.589996,250.020004,251.240005,224.145767,79902
2015-07-14,253.970001,259.970001,250.020004,258.230011,230.381973,171233
2015-07-15,257.899994,263.549988,252.899994,262.899994,234.548309,232702
2015-07-16,261.890015,265.000000,257.010010,264.200012,235.708130,208280
2015-07-17,266.000000,266.519989,258.500000,258.890015,230.970795,117832
2015-07-20,259.010010,259.010010,247.490005,252.710007,225.457245,232847
2015-07-21,253.100006,254.009995,249.009995,249.889999,222.941360,352482
2015-07-22,249.000000,251.919998,238.229996,240.460007,214.528305,313077
2015-07-23,241.000000,246.949997,241.000000,243.270004,217.035263,211913
2015-07-24,245.699997,245.699997,232.740005,237.970001,212.306824,457485
2015-07-27,238.000000,241.699997,235.179993,238.029999,212.360352,183249
2015-07-28,237.270004,241.000000,236.600006,237.330002,211.735855,178634
2015-07-29,237.000000,241.000000,235.979996,239.960007,214.082214,207365
2015-07-30,236.500000,241.509995,236.020004,240.539993,214.599670,101978
2015-07-31,241.639999,245.539993,238.000000,244.570007,218.195068,327241
2015-08-03,238.009995,242.990005,238.009995,239.830002,213.966248,207734
2015-08-04,238.139999,243.130005,237.009995,238.740005,212.993774,126196
2015-08-05,237.009995,242.300003,237.009995,241.600006,215.545364,132623
2015-08-06,240.000000,242.000000,236.000000,236.210007,210.736618,134235
2015-08-07,234.910004,241.500000,234.899994,240.100006,214.207123,132416
2015-08-10,240.119995,247.800003,238.000000,247.089996,220.443329,856400
2015-08-11,247.000000,247.000000,242.770004,243.470001,217.213699,199794
2015-08-12,243.000000,247.300003,239.199997,242.979996,216.776505,331681
2015-08-13,240.309998,245.000000,240.190002,242.580002,216.419662,200990
2015-08-14,242.500000,244.990005,239.289993,240.029999,214.144669,143206
2015-08-17,242.250000,242.250000,235.399994,236.779999,211.245163,157788
2015-08-18,236.000000,236.039993,228.089996,228.750000,204.081131,172693
2015-08-19,231.000000,232.990005,224.149994,226.149994,201.761520,199655
2015-08-20,224.500000,246.000000,224.500000,242.240005,216.116348,366470
2015-08-21,239.750000,246.750000,238.520004,242.199997,216.080643,317574
2015-08-24,242.500000,242.500000,223.360001,235.270004,209.898010,508280
2015-08-25,240.000000,240.000000,232.000000,234.889999,209.558990,173500
2015-08-26,235.000000,236.399994,227.000000,234.210007,208.952347,239094
2015-08-27,235.000000,244.100006,229.699997,242.639999,216.473206,248678
2015-08-28,242.970001,247.990005,235.360001,245.830002,219.319214,161629
